1,0,147
1,148,278
1,279,367
3,368,541
3,542,698
3,699,726
5,727,900
5,901,1050
6,1051,1219
6,1220,1333
6,1334,1392
7,1393,1525
7,1526,1703
7,1704,1710
8,1711,1854
8,1855,2005
11,2006,2150
11,2151,2281
11,2282,2342
14,2343,2473
14,2474,2616
14,2617,2688
15,2689,2807
15,2808,2952
15,2953,3039
16,3040,3182
16,3183,3343
16,3344,3418
17,3419,3559
17,3560,3675
17,3676,3819
19,3820,4007
19,4008,4175
19,4176,4200
21,4201,4366
21,4367,4557
21,4558,4634
22,4635,4771
22,4772,4874
22,4875,4969
23,4970,5150
23,5151,5326
23,5327,5361
25,5362,5465
25,5466,5664
25,5665,5777
25,5778,5795
26,5796,5958
26,5959,6100
26,6101,6204
27,6205,6314
27,6315,6426
27,6427,6587
27,6588,6598
28,6599,6797
28,6798,6973
28,6974,6993
29,6994,7146
29,7147,7283
29,7284,7357
30,7358,7519
30,7520,7675
30,7676,7766
