1,0,82
1,83,152
1,153,244
1,245,335
1,336,367
3,368,460
3,461,503
3,504,548
3,549,573
3,574,654
3,655,726
5,727,818
5,819,901
5,902,942
5,943,1004
5,1005,1050
6,1051,1121
6,1122,1192
6,1193,1229
6,1230,1324
6,1325,1356
6,1357,1392
7,1393,1460
7,1461,1505
7,1506,1553
7,1554,1585
7,1586,1642
7,1643,1710
8,1711,1753
8,1754,1797
8,1798,1830
8,1831,1908
8,1909,1952
8,1953,1975
8,1976,2005
11,2006,2058
11,2059,2108
11,2109,2135
11,2136,2182
11,2183,2249
11,2250,2342
14,2343,2385
14,2386,2460
14,2461,2524
14,2525,2576
14,2577,2645
14,2646,2688
15,2689,2774
15,2775,2829
15,2830,2878
15,2879,2921
15,2922,3004
15,3005,3039
16,3040,3078
16,3079,3136
16,3137,3207
16,3208,3278
16,3279,3334
16,3335,3377
16,3378,3418
17,3419,3501
17,3502,3542
17,3543,3584
17,3585,3639
17,3640,3715
17,3716,3756
17,3757,3781
17,3782,3819
19,3820,3865
19,3866,3911
19,3912,3949
19,3950,3996
19,3997,4069
19,4070,4125
19,4126,4165
19,4166,4200
21,4201,4290
21,4291,4356
21,4357,4416
21,4417,4468
21,4469,4555
21,4556,4634
22,4635,4692
22,4693,4765
22,4766,4861
22,4862,4961
22,4962,4969
23,4970,5057
23,5058,5143
23,5144,5216
23,5217,5298
23,5299,5361
25,5362,5453
25,5454,5506
25,5507,5532
25,5533,5614
25,5615,5710
25,5711,5795
26,5796,5847
26,5848,5878
26,5879,5919
26,5920,6015
26,6016,6107
26,6108,6163
26,6164,6204
27,6205,6255
27,6256,6328
27,6329,6380
27,6381,6478
27,6479,6551
27,6552,6598
28,6599,6631
28,6632,6692
28,6693,6775
28,6776,6829
28,6830,6915
28,6916,6962
28,6963,6993
29,6994,7060
29,7061,7139
29,7140,7220
29,7221,7319
29,7320,7357
30,7358,7428
30,7429,7461
30,7462,7528
30,7529,7557
30,7558,7629
30,7630,7710
30,7711,7766
