0.00,1.17,1.20,1.68,1.67,1.70,1.45,1.65,1.58,1.64,1.59,1.63
1.17,0.00,1.30,1.62,1.60,1.64,1.28,1.47,1.43,1.50,1.46,1.50
1.20,1.30,0.00,1.88,1.87,1.89,1.59,1.76,1.66,1.72,1.65,1.69
1.68,1.62,1.88,0.00,1.00,1.11,1.60,1.72,1.73,1.74,1.82,1.80
1.67,1.60,1.87,1.00,0.00,1.16,1.58,1.71,1.73,1.75,1.82,1.80
1.70,1.64,1.89,1.11,1.16,0.00,1.63,1.74,1.74,1.72,1.84,1.78
1.45,1.28,1.59,1.60,1.58,1.63,0.00,1.27,1.26,1.40,1.32,1.42
1.65,1.47,1.76,1.72,1.71,1.74,1.27,0.00,1.37,1.33,1.44,1.35
1.58,1.43,1.66,1.73,1.73,1.74,1.26,1.37,0.00,1.38,1.11,1.39
1.64,1.50,1.72,1.74,1.75,1.72,1.40,1.33,1.38,0.00,1.46,1.05
1.59,1.46,1.65,1.82,1.82,1.84,1.32,1.44,1.11,1.46,0.00,1.44
1.63,1.50,1.69,1.80,1.80,1.78,1.42,1.35,1.39,1.05,1.44,0.00
