0.00,2.58,2.90,7.46,7.35,7.67,5.30,7.17,6.48,7.08,6.62,7.03
2.58,0.00,3.87,6.85,6.71,7.10,3.62,5.51,5.09,5.71,5.39,5.72
2.90,3.87,0.00,9.37,9.27,9.50,6.63,8.20,7.28,7.86,7.20,7.58
7.46,6.85,9.37,0.00,1.00,2.01,6.66,7.84,7.94,8.02,8.83,8.58
7.35,6.71,9.27,1.00,0.00,2.51,6.50,7.76,7.94,8.09,8.79,8.62
7.67,7.10,9.50,2.01,2.51,0.00,6.99,8.07,8.04,7.82,8.97,8.39
5.30,3.62,6.63,6.66,6.50,6.99,0.00,3.55,3.46,4.79,4.03,4.95
7.17,5.51,8.20,7.84,7.76,8.07,3.55,0.00,4.49,4.17,5.15,4.37
6.48,5.09,7.28,7.94,7.94,8.04,3.46,4.49,0.00,4.64,2.07,4.71
7.08,5.71,7.86,8.02,8.09,7.82,4.79,4.17,4.64,0.00,5.39,1.50
6.62,5.39,7.20,8.83,8.79,8.97,4.03,5.15,2.07,5.39,0.00,5.17
7.03,5.72,7.58,8.58,8.62,8.39,4.95,4.37,4.71,1.50,5.17,0.00
